garment_name,price,url
Stripe Knitted Baby Blanket (90cm x 70cm),£10.00,https://www.matalan.co.uk/product/detail/s2788564_c000/stripe-knitted-baby-blanket-pink
Unisex 7 Piece Elephant Set (Tiny Baby-9mths),£12.00,https://www.matalan.co.uk/product/detail/s2812324_c359/unisex-7-piece-elephant-set-tiny-baby-9mths-white
Girls 3 Pack Bow Ankle Socks (Newborn-12mths),£3.00,https://www.matalan.co.uk/product/detail/s2822070_c359/girls-3-pack-bow-ankle-socks-newborn-12mths-multi
Boys Knitted Stripe Romper (Tiny Baby-23mths),£6.00,https://www.matalan.co.uk/product/detail/s2812291_c270/boys-knitted-stripe-romper-tiny-baby-23mths-navy
Girls 3 Pack Frill Socks (Newborn-12mths),£3.00,https://www.matalan.co.uk/product/detail/s2822032_c323/girls-3-pack-frill-socks-newborn-12ths-pink
Unisex Knitted Frill Neck Set (Tiny Baby-23mths),£12.50,https://www.matalan.co.uk/product/detail/s2802861_c523/unisex-knitted-frill-neck-set-tiny-baby-23mths-cream
2 Pack Elephant Bandana Bibs,£3.00,https://www.matalan.co.uk/product/detail/s2812312_c359/2-pack-elephant-bandana-bibs-white
Girls Frill Cardigan (Newborn-23mths),£8.00,https://www.matalan.co.uk/product/detail/s2812201_c323/girls-frill-cardigan-newborn-23mths-pink
Girls Pink Knitted 3D Ears Cardigan (Tiny Baby-23mths),£10.00,https://www.matalan.co.uk/product/detail/s2782446_c323/girls-pink-knitted-3d-ears-cardigan-tiny-baby-23mths-pink
Unisex Grey Knitted 3D Ears Cardigan (Tiny Baby-23mths),£10.00,https://www.matalan.co.uk/product/detail/s2782447_c228/unisex-grey-knitted-3d-ears-cardigan-tiny-baby-23mths-grey
Unisex 3 Pack Elephant Print Baby Grows (Tiny Baby-18mths),£12.00,https://www.matalan.co.uk/product/detail/s2812950_c128/unisex-3-pack-elephant-print-baby-grows-tiny-baby-18mths-blue
Bunny Soft Toy & Blanket Set (100cm x 75cm),£10.00,https://www.matalan.co.uk/product/detail/s2767496_c438/bunny-soft-toy-blanket-set-one-size-cream
Boys Blue Knitted 3D Ears Cardigan (Tiny Baby-23mths),£10.00,https://www.matalan.co.uk/product/detail/s2782536_c128/boys-blue-knitted-3d-ears-cardigan-tiny-baby-23mths-blue
Boys Short Sweatsuit Set (Tiny Baby-23mths),£3.00,https://www.matalan.co.uk/product/detail/s2812297_c228/boys-short-sweatsuit-set-tiny-baby-23mths-grey
Girls 2 Pack Knee Socks (Newborn-12mths),£3.00,https://www.matalan.co.uk/product/detail/s2822119_c359/girls-2-pack-knee-socks-newborn-12mths-white
Unisex 4 Pack Ribbed Socks (Newborn-12mths),£3.00,https://www.matalan.co.uk/product/detail/s2822136_c359/unisex-4-pack-ribbed-socks-newborn-12mths-white
Unisex 2 Pack Star Print Baby Grows (Newborn-23mths),£6.00,https://www.matalan.co.uk/product/detail/s2832580_c359/unisex-2-pack-star-print-baby-grows-newborn-23mths-multi
Unisex Disney Winnie The Pooh Baby Grow (Newborn-12mths),£6.00,https://www.matalan.co.uk/product/detail/s2822372_c438/unisex-disney-winnie-the-pooh-baby-grow-newborn-12mths-cream
Girls 2 Pack Ribbed Leggings (Tiny Baby-23mths),£4.00,https://www.matalan.co.uk/product/detail/s2815441_c47q/girls-2-pack-ribbed-leggings-tiny-baby-23mths-multi
Unisex 3 Pack Born in 2021 Socks (Newborn-12mths),£3.00,https://www.matalan.co.uk/product/detail/s2822062_c47q/unisex-3-pack-born-in-2021-socks-newborn-12mths-grey
Boys Cuffed Stretch Jeans (Newborn-23mths),£6.00,https://www.matalan.co.uk/product/detail/s2820136_c128/boys-cuffed-stretch-jeans-newborn-23mths-blue
Unisex Disney Dumbo Comforter,£6.00,https://www.matalan.co.uk/product/detail/s2821171_c438/unisex-disney-dumbo-comforter-cream
Girls 2 Pack Ballet Tights (Newborn-23mths),£5.50,https://www.matalan.co.uk/product/detail/s2799793_c438/girls-2-pack-ballet-tights-newborn-23mths-pink
Unisex Disney Dumbo Baby Grow (Newborn-9mths),£6.00,https://www.matalan.co.uk/product/detail/s2815460_c438/unisex-disney-dumbo-baby-grow-newborn-9mths-cream
2 Pack Ribbed Tights (Newborn-23mths),£4.00,https://www.matalan.co.uk/product/detail/s2799800_c327/2-pack-ribbed-tights-newborn-23mths-multi
Disney Dumbo Gift Bag,£2.00,https://www.matalan.co.uk/product/detail/s2815379_c438/disney-dumbo-gift-bag-cream
Disney Dumbo Fleece Blanket (100cm x 75cm),£7.00,https://www.matalan.co.uk/product/detail/s2816193_c438/disney-dumbo-fleece-blanket-cream
